Section ID & Heading,Recommendation / Requirement,Normative Keyword,Subtheme
7.3.1 Tools,The components property is Optional.,MAY,Tooling Information
7.3.1 Tools,The services property is Optional.,MAY,Tooling Information
7.3.3 Components,The tools property is Optional.,MAY,Tooling Information
7.3.3 Components,Each item of this array must be a Component object.,REQUIRED,Tooling Information
7.3.3.1 Component,All items must be unique.,REQUIRED,Tooling Information
7.3.4 Services,The tools property is Optional.,MAY,Tooling Information
7.3.4 Services,Each item of this array must be a Service object.,REQUIRED,Tooling Information
7.3.4.1 Service,All items must be unique.,REQUIRED,Tooling Information
7.3.4.1.1 Tools (legacy),Each item of this array must be a Tool object.,REQUIRED,Tooling Information
7.3.5 Tool,The vendor property is Optional.,MAY,Tooling Information
7.3.5 Tool,The name property is Optional.,MAY,Tooling Information
7.3.5 Tool,The version property is Optional.,MAY,Tooling Information
7.3.5 Tool,The hashes property is Optional.,MAY,Tooling Information
7.3.5 Tool,The externalReferences property is Optional.,MAY,Tooling Information
7.3.5.1 Tool Vendor,The vendor property is Optional.,MAY,Tooling Information
7.3.5.2 Tool Name,The name property is Optional.,MAY,Tooling Information
7.3.5.3 Tool Version,The version property is Optional.,MAY,Tooling Information
7.3.5.4 Hashes,The hashes property is Optional.,MAY,Cryptographic Hashes
7.3.5.4 Hashes,Each item of this array must be a Hash object.,REQUIRED,Cryptographic Hashes
7.3.5.4.1 Hash,The alg property is Required.,REQUIRED,Cryptographic Hashes
7.3.5.4.1 Hash,The content property is Required.,REQUIRED,Cryptographic Hashes
7.3.5.4.2 Hash Algorithm,The alg property is Required.,REQUIRED,Cryptographic Hashes
7.3.5.4.2 Hash Algorithm,The hash algorithm Must be one of: MD5.,REQUIRED,Cryptographic Hashes
7.3.5.4.2 Hash Algorithm,The hash algorithm Must be one of: SHA-1.,REQUIRED,Cryptographic Hashes
7.3.5.4.2 Hash Algorithm,The hash algorithm Must be one of: SHA-256.,REQUIRED,Cryptographic Hashes
7.3.5.4.2 Hash Algorithm,The hash algorithm Must be one of: SHA-384.,REQUIRED,Cryptographic Hashes
7.3.5.4.2 Hash Algorithm,The hash algorithm Must be one of: SHA-512.,REQUIRED,Cryptographic Hashes
7.3.5.4.2 Hash Algorithm,The hash algorithm Must be one of: SHA3-256.,REQUIRED,Cryptographic Hashes
7.3.5.4.2 Hash Algorithm,The hash algorithm Must be one of: SHA3-384.,REQUIRED,Cryptographic Hashes
7.3.5.4.2 Hash Algorithm,The hash algorithm Must be one of: SHA3-512.,REQUIRED,Cryptographic Hashes
7.3.5.4.2 Hash Algorithm,The hash algorithm Must be one of: BLAKE2b-256.,REQUIRED,Cryptographic Hashes
7.3.5.4.2 Hash Algorithm,The hash algorithm Must be one of: BLAKE2b-384.,REQUIRED,Cryptographic Hashes
7.3.5.4.2 Hash Algorithm,The hash algorithm Must be one of: BLAKE2b-512.,REQUIRED,Cryptographic Hashes
7.3.5.4.2 Hash Algorithm,The hash algorithm Must be one of: BLAKE3.,REQUIRED,Cryptographic Hashes
7.3.5.4.3 Hash Value,The content property is Required.,REQUIRED,Cryptographic Hashes
7.3.5.5 External References,The externalReferences property is Optional.,MAY,External References
7.3.5.5 External References,Each item of this array must be an External Reference object.,REQUIRED,External References
7.4 BOM Manufacturer,The manufacturer property is Optional.,MAY,Organizational Entity Definition
7.4 BOM Manufacturer,The bom-ref property is Optional.,MAY,Internal Referencing (bom-ref)
7.4 BOM Manufacturer,Every bom-ref must be unique within the BOM.,REQUIRED,Internal Referencing (bom-ref)
7.4 BOM Manufacturer,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,RECOMMENDED,Internal Referencing (bom-ref)
7.4 BOM Manufacturer,The name property is Optional.,MAY,Organizational Entity Definition
7.4 BOM Manufacturer,The address property is Optional.,MAY,Organizational Entity Definition
7.4 BOM Manufacturer,The url property is Optional.,MAY,Organizational Entity Definition
7.4 BOM Manufacturer,The contact property is Optional.,MAY,Organizational Entity Definition
7.4.1 BOM Reference,The bom-ref property is Optional.,MAY,Internal Referencing (bom-ref)
7.4.1 BOM Reference,Every bom-ref must be unique within the BOM.,REQUIRED,Internal Referencing (bom-ref)
7.4.1 BOM Reference,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,RECOMMENDED,Internal Referencing (bom-ref)
7.4.2 Organization Name,The name property is Optional.,MAY,Organizational Entity Definition
7.4.3 Organization Address,The address property is Optional.,MAY,Organizational Entity Definition
7.4.3 Organization Address,The bom-ref property is Optional.,MAY,Internal Referencing (bom-ref)
7.4.3 Organization Address,Every bom-ref must be unique within the BOM.,REQUIRED,Internal Referencing (bom-ref)
7.4.3 Organization Address,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,RECOMMENDED,Internal Referencing (bom-ref)
7.4.3 Organization Address,The country property is Optional.,MAY,Organizational Entity Definition
7.4.3 Organization Address,The region property is Optional.,MAY,Organizational Entity Definition
7.4.3 Organization Address,The locality property is Optional.,MAY,Organizational Entity Definition
7.4.3 Organization Address,The postOfficeBoxNumber property is Optional.,MAY,Organizational Entity Definition
7.4.3 Organization Address,The postalCode property is Optional.,MAY,Organizational Entity Definition
7.4.3 Organization Address,The streetAddress property is Optional.,MAY,Organizational Entity Definition
7.4.3.1 BOM Reference,The bom-ref property is Optional.,MAY,Internal Referencing (bom-ref)
7.4.3.1 BOM Reference,Every bom-ref must be unique within the BOM.,REQUIRED,Internal Referencing (bom-ref)
7.4.3.1 BOM Reference,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,RECOMMENDED,Internal Referencing (bom-ref)
7.4.3.2 Country,The country property is Optional.,MAY,Organizational Entity Definition
7.4.3.3 Region,The region property is Optional.,MAY,Organizational Entity Definition
7.4.3.4 Locality,The locality property is Optional.,MAY,Organizational Entity Definition
7.4.3.5 Post Office Box Number,The postOfficeBoxNumber property is Optional.,MAY,Organizational Entity Definition
7.4.3.6 Postal Code,The postalCode property is Optional.,MAY,Organizational Entity Definition
7.4.3.7 Street Address,The streetAddress property is Optional.,MAY,Organizational Entity Definition
7.4.4 Organization URL(s),The url property is Optional.,MAY,Organizational Entity Definition
7.4.4 Organization URL(s),Each item of this array must be a string.,REQUIRED,Organizational Entity Definition
7.4.5 Organizational Contact,The contact property is Optional.,MAY,Contact Information
7.4.5 Organizational Contact,Each item of this array must be an Organizational Contact object.,REQUIRED,Contact Information
7.4.5.1 Organizational Contact,The bom-ref property is Optional.,MAY,Internal Referencing (bom-ref)
7.4.5.1 Organizational Contact,Every bom-ref must be unique within the BOM.,REQUIRED,Internal Referencing (bom-ref)
7.4.5.1 Organizational Contact,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,RECOMMENDED,Internal Referencing (bom-ref)
7.4.5.1 Organizational Contact,The name property is Optional.,MAY,Contact Information
7.4.5.1 Organizational Contact,The email property is Optional.,MAY,Contact Information
7.4.5.1 Organizational Contact,The phone property is Optional.,MAY,Contact Information
7.4.5.1.1 BOM Reference,The bom-ref property is Optional.,MAY,Internal Referencing (bom-ref)
7.4.5.1.1 BOM Reference,Every bom-ref must be unique within the BOM.,REQUIRED,Internal Referencing (bom-ref)
7.4.5.1.1 BOM Reference,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,RECOMMENDED,Internal Referencing (bom-ref)
7.4.5.1.2 Name,The name property is Optional.,MAY,Contact Information
7.4.5.1.3 Email Address,The email property is Optional.,MAY,Contact Information
7.4.5.1.4 Phone,The phone property is Optional.,MAY,Contact Information
7.5 BOM Authors,The authors property is Optional.,MAY,Organizational Entity Definition
7.5 BOM Authors,Each item of this array must be an Organizational Contact object.,REQUIRED,Organizational Entity Definition
7.5.1 Organizational Contact,The bom-ref property is Optional.,MAY,Internal Referencing (bom-ref)
7.5.1 Organizational Contact,Every bom-ref must be unique within the BOM.,REQUIRED,Internal Referencing (bom-ref)
7.5.1 Organizational Contact,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,RECOMMENDED,Internal Referencing (bom-ref)
7.5.1 Organizational Contact,The name property is Optional.,MAY,Contact Information
7.5.1 Organizational Contact,The email property is Optional.,MAY,Contact Information
7.5.1 Organizational Contact,The phone property is Optional.,MAY,Contact Information
7.5.1.1 BOM Reference,The bom-ref property is Optional.,MAY,Internal Referencing (bom-ref)
7.5.1.1 BOM Reference,Every bom-ref must be unique within the BOM.,REQUIRED,Internal Referencing (bom-ref)
7.5.1.1 BOM Reference,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,RECOMMENDED,Internal Referencing (bom-ref)
7.5.1.2 Name,The name property is Optional.,MAY,Contact Information
7.5.1.3 Email Address,The email property is Optional.,MAY,Contact Information
7.5.1.4 Phone,The phone property is Optional.,MAY,Contact Information
7.6 Component,The component property is Optional.,MAY,BOM Metadata
7.7 Component Manufacture (legacy),The manufacture property is Optional and Deprecated.,MAY,Organizational Entity Definition
7.7 Component Manufacture (legacy),The bom-ref property is Optional.,MAY,Internal Referencing (bom-ref)
7.7 Component Manufacture (legacy),The name property is Optional.,MAY,Organizational Entity Definition
7.7 Component Manufacture (legacy),The address property is Optional.,MAY,Organizational Entity Definition
7.7 Component Manufacture (legacy),The url property is Optional.,MAY,Organizational Entity Definition
7.7 Component Manufacture (legacy),The contact property is Optional.,MAY,Organizational Entity Definition
7.7.1 BOM Reference,The bom-ref property is Optional.,MAY,Internal Referencing (bom-ref)
7.7.1 BOM Reference,Every bom-ref must be unique within the BOM.,REQUIRED,Internal Referencing (bom-ref)
7.7.1 BOM Reference,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,RECOMMENDED,Internal Referencing (bom-ref)
7.7.2 Organization Name,The name property is Optional.,MAY,Organizational Entity Definition
7.7.3 Organization Address,The address property is Optional.,MAY,Organizational Entity Definition
7.7.3 Organization Address,The bom-ref property is Optional.,MAY,Internal Referencing (bom-ref)
7.7.3 Organization Address,Every bom-ref must be unique within the BOM.,REQUIRED,Internal Referencing (bom-ref)
7.7.3 Organization Address,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,RECOMMENDED,Internal Referencing (bom-ref)
7.7.3 Organization Address,The country property is Optional.,MAY,Organizational Entity Definition
7.7.3 Organization Address,The region property is Optional.,MAY,Organizational Entity Definition
7.7.3 Organization Address,The locality property is Optional.,MAY,Organizational Entity Definition
7.7.3 Organization Address,The postOfficeBoxNumber property is Optional.,MAY,Organizational Entity Definition
7.7.3 Organization Address,The postalCode property is Optional.,MAY,Organizational Entity Definition
7.7.3 Organization Address,The streetAddress property is Optional.,MAY,Organizational Entity Definition
7.7.3.1 BOM Reference,The bom-ref property is Optional.,MAY,Internal Referencing (bom-ref)
7.7.3.1 BOM Reference,Every bom-ref must be unique within the BOM.,REQUIRED,Internal Referencing (bom-ref)
7.7.3.1 BOM Reference,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,RECOMMENDED,Internal Referencing (bom-ref)
7.7.4 Organization URL(s),The url property is Optional.,MAY,Organizational Entity Definition
7.7.4 Organization URL(s),Each item of this array must be a string.,REQUIRED,Organizational Entity Definition
7.7.5 Organizational Contact,The contact property is Optional.,MAY,Contact Information
7.7.5 Organizational Contact,Each item of this array must be an Organizational Contact object.,REQUIRED,Contact Information
7.7.5.1 Organizational Contact,The bom-ref property is Optional.,MAY,Internal Referencing (bom-ref)
7.7.5.1 Organizational Contact,Every bom-ref must be unique within the BOM.,REQUIRED,Internal Referencing (bom-ref)
7.7.5.1 Organizational Contact,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,RECOMMENDED,Internal Referencing (bom-ref)
7.7.5.1 Organizational Contact,The name property is Optional.,MAY,Contact Information
7.7.5.1 Organizational Contact,The email property is Optional.,MAY,Contact Information
7.8 Supplier,The supplier property is Optional.,MAY,Organizational Entity Definition
7.8 Supplier,The bom-ref property is Optional.,MAY,Internal Referencing (bom-ref)
7.8 Supplier,Every bom-ref must be unique within the BOM.,REQUIRED,Internal Referencing (bom-ref)
7.8 Supplier,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,RECOMMENDED,Internal Referencing (bom-ref)
7.8 Supplier,The name property is Optional.,MAY,Organizational Entity Definition
7.8 Supplier,The address property is Optional.,MAY,Organizational Entity Definition
7.8 Supplier,The url property is Optional.,MAY,Organizational Entity Definition
7.8 Supplier,The contact property is Optional.,MAY,Organizational Entity Definition
7.8.1 BOM Reference,The bom-ref property is Optional.,MAY,Internal Referencing (bom-ref)
7.8.1 BOM Reference,Every bom-ref must be unique within the BOM.,REQUIRED,Internal Referencing (bom-ref)
7.8.1 BOM Reference,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,RECOMMENDED,Internal Referencing (bom-ref)
7.8.2 Organization Name,The name property is Optional.,MAY,Organizational Entity Definition
7.8.3 Organization Address,The address property is Optional.,MAY,Organizational Entity Definition
7.8.3 Organization Address,The bom-ref property is Optional.,MAY,Internal Referencing (bom-ref)
7.8.3 Organization Address,Every bom-ref must be unique within the BOM.,REQUIRED,Internal Referencing (bom-ref)
7.8.3 Organization Address,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,RECOMMENDED,Internal Referencing (bom-ref)
7.8.3 Organization Address,The country property is Optional.,MAY,Organizational Entity Definition
7.8.3 Organization Address,The region property is Optional.,MAY,Organizational Entity Definition
7.8.3 Organization Address,The locality property is Optional.,MAY,Organizational Entity Definition
7.8.3 Organization Address,The postOfficeBoxNumber property is Optional.,MAY,Organizational Entity Definition
7.8.3 Organization Address,The postalCode property is Optional.,MAY,Organizational Entity Definition
7.8.3 Organization Address,The streetAddress property is Optional.,MAY,Organizational Entity Definition
7.8.3.1 BOM Reference,The bom-ref property is Optional.,MAY,Internal Referencing (bom-ref)
7.8.3.1 BOM Reference,Every bom-ref must be unique within the BOM.,REQUIRED,Internal Referencing (bom-ref)
7.8.3.1 BOM Reference,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,RECOMMENDED,Internal Referencing (bom-ref)
7.8.4 Organization URL(s),The url property is Optional.,MAY,Organizational Entity Definition
7.8.4 Organization URL(s),Each item of this array must be a string.,REQUIRED,Organizational Entity Definition
7.8.5 Organizational Contact,The contact property is Optional.,MAY,Contact Information
7.8.5 Organizational Contact,Each item of this array must be an Organizational Contact object.,REQUIRED,Contact Information
7.8.5.1 Organizational Contact,The bom-ref property is Optional.,MAY,Internal Referencing (bom-ref)
7.8.5.1 Organizational Contact,Every bom-ref must be unique within the BOM.,REQUIRED,Internal Referencing (bom-ref)
7.8.5.1 Organizational Contact,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,RECOMMENDED,Internal Referencing (bom-ref)
7.8.5.1 Organizational Contact,The name property is Optional.,MAY,Contact Information
7.8.5.1 Organizational Contact,The email property is Optional.,MAY,Contact Information
7.9 BOM Licence(s),The licenses property is Optional.,MAY,Licensing and Copyright
7.10 Properties,The properties property is Optional.,MAY,Extensibility via Properties
7.10 Properties,Property names of interest to the general public are encouraged to be registered in the CycloneDX Property Taxonomy.,RECOMMENDED,Property Taxonomies
7.10 Properties,Formal registration is optional.,MAY,Property Taxonomies
7.10 Properties,Each item of this array must be a Lightweight name-value pair object.,REQUIRED,Extensibility via Properties
8.1 Component,The type property is Required.,REQUIRED,Component and Service Typing
8.1 Component,The mime-type property is Optional.,MAY,Descriptive Metadata
8.1 Component,The bom-ref property is Optional.,MAY,Internal Referencing (bom-ref)
8.1 Component,Every bom-ref must be unique within the BOM.,REQUIRED,Internal Referencing (bom-ref)
8.1 Component,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,RECOMMENDED,Internal Referencing (bom-ref)
8.1 Component,The supplier property is Optional.,MAY,Organizational Entity Definition
8.1 Component,The manufacturer property is Optional.,MAY,Organizational Entity Definition
8.1 Component,The authors property is Optional.,MAY,Organizational Entity Definition
8.1 Component,The author property is Optional and Deprecated.,MAY,Organizational Entity Definition
8.1 Component,The publisher property is Optional.,MAY,Organizational Entity Definition
8.1 Component,The group property is Optional.,MAY,Component and Service Identification
8.1 Component,Whitespace and special characters should be avoided in the group property.,RECOMMENDED,Component and Service Identification
8.1 Component,The name property is Required.,REQUIRED,Component and Service Identification
8.1 Component,The version property is Optional.,MAY,Component and Service Identification
8.1 Component,The version should ideally comply with semantic versioning but is not enforced.,RECOMMENDED,Component and Service Identification
8.1 Component,The description property is Optional.,MAY,Descriptive Metadata
8.1 Component,The scope property is Optional.,MAY,Component Scope
8.1 Component,"If scope is not specified, 'required' scope SHOULD be assumed by the consumer of the BOM.",RECOMMENDED,Component Scope
8.1.1 Component Type,The type property is Required.,REQUIRED,Component and Service Typing
8.1.1 Component Type,"For software components, classify as application if no more specific appropriate classification is available or cannot be determined for the component.",RECOMMENDED,Component and Service Typing
8.1.1 Component Type,"If the library also has key features of a framework, then it should be classified as a framework.",RECOMMENDED,Component and Service Typing
8.1.1 Component Type,"If the classification is unknown, then specifying library is recommended.",RECOMMENDED,Component and Service Typing
8.1.1 Component Type,"A hardware device containing firmware SHOULD include a component for the physical hardware itself and another component of type 'firmware' or 'operating-system' (whichever is relevant), describing information about the software running on the device.",RECOMMENDED,Component and Service Typing
8.1.2 Mime-Type,The mime-type property is Optional.,MAY,Descriptive Metadata
8.1.3 BOM Reference,The bom-ref property is Optional.,MAY,Internal Referencing (bom-ref)
8.1.3 BOM Reference,Every bom-ref must be unique within the BOM.,REQUIRED,Internal Referencing (bom-ref)
8.1.3 BOM Reference,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,RECOMMENDED,Internal Referencing (bom-ref)
8.1.4 Component Supplier,The supplier property is Optional.,MAY,Organizational Entity Definition
8.1.5 Component Manufacturer,The manufacturer property is Optional.,MAY,Organizational Entity Definition
8.1.6 Component Authors,The authors property is Optional.,MAY,Organizational Entity Definition
8.1.7 Component Author (legacy),The author property is Optional and Deprecated.,MAY,Organizational Entity Definition
8.1.8 Component Publisher,The publisher property is Optional.,MAY,Organizational Entity Definition
8.1.9 Component Group,The group property is Optional.,MAY,Component and Service Identification
8.1.9 Component Group,Whitespace and special characters should be avoided.,RECOMMENDED,Component and Service Identification
8.1.10 Component Name,The name property is Required.,REQUIRED,Component and Service Identification
8.1.11 Component Version,The version property is Optional.,MAY,Component and Service Identification
8.1.11 Component Version,The version should ideally comply with semantic versioning but is not enforced.,RECOMMENDED,Component and Service Identification
8.1.12 Component Description,The description property is Optional.,MAY,Descriptive Metadata
8.1.13 Component Scope,The scope property is Optional.,MAY,Component Scope
8.1.13 Component Scope,"If scope is not specified, 'required' scope SHOULD be assumed by the consumer of the BOM.",RECOMMENDED,Component Scope
8.1.14 Component Hashes,The hashes property is Optional.,MAY,Cryptographic Hashes
8.1.14 Component Hashes,Each item of this array must be a Hash object.,REQUIRED,Cryptographic Hashes
8.1.14.1 Hash,The alg property for the hashes object is Required.,REQUIRED,Cryptographic Hashes
8.1.14.1 Hash,The alg property must define the algorithm that generated the hash value.,REQUIRED,Cryptographic Hashes
8.1.14.1 Hash,The content property for the hashes object is Required.,REQUIRED,Cryptographic Hashes
8.1.14.1 Hash,The content property must define the value of the hash.,REQUIRED,Cryptographic Hashes
8.1.14.1.1 Hash Algorithm,The alg property is Required.,REQUIRED,Cryptographic Hashes
8.1.14.1.1 Hash Algorithm,The alg value Must be one of: MD5.,REQUIRED,Cryptographic Hashes
8.1.14.1.1 Hash Algorithm,The alg value Must be one of: SHA-1.,REQUIRED,Cryptographic Hashes
8.1.14.1.1 Hash Algorithm,The alg value Must be one of: SHA-256.,REQUIRED,Cryptographic Hashes
8.1.14.1.1 Hash Algorithm,The alg value Must be one of: SHA-384.,REQUIRED,Cryptographic Hashes
8.1.14.1.1 Hash Algorithm,The alg value Must be one of: SHA-512.,REQUIRED,Cryptographic Hashes
8.1.14.1.1 Hash Algorithm,The alg value Must be one of: SHA3-256.,REQUIRED,Cryptographic Hashes
8.1.14.1.1 Hash Algorithm,The alg value Must be one of: SHA3-384.,REQUIRED,Cryptographic Hashes
8.1.14.1.1 Hash Algorithm,The alg value Must be one of: SHA3-512.,REQUIRED,Cryptographic Hashes
8.1.14.1.1 Hash Algorithm,The alg value Must be one of: BLAKE2b-256.,REQUIRED,Cryptographic Hashes
8.1.14.1.1 Hash Algorithm,The alg value Must be one of: BLAKE2b-384.,REQUIRED,Cryptographic Hashes
8.1.14.1.1 Hash Algorithm,The alg value Must be one of: BLAKE2b-512.,REQUIRED,Cryptographic Hashes
