id,section,requirement,normative_force,initial_code,subtheme,theme,generator_consumer_axis,issue_focus,previous_single_subtheme
CDX-0011,5.4.1.1 Serial Number,"If specified, the serial number must conform to RFC-4122.",REQUIRED,bom_document_identity,BOM identity and references,"Provenance, identity, and trust",generator-obligation,inventory/provenance,BOM Identification
CDX-0012,5.4.1.1 Serial Number,The use of serial numbers is recommended.,RECOMMENDED,bom_document_identity,BOM identity and references,"Provenance, identity, and trust",generator-obligation,inventory/provenance,BOM Identification
CDX-0013,5.4.1.2 Version,"Whenever an existing BOM is modified, either manually or through automated processes, the version of the BOM should be incremented by 1.",RECOMMENDED,bom_document_identity,BOM identity and references,"Provenance, identity, and trust",generator-obligation,inventory/provenance,BOM Identification
CDX-0014,5.4.1.2 Version,"When a system is presented with multiple BOMs with identical serial numbers, the system should use the most recent version of the BOM.",RECOMMENDED,bom_document_identity,BOM identity and references,"Provenance, identity, and trust",generator-obligation,inventory/provenance,BOM Identification
CDX-0015,6 CycloneDX Bill of Materials Standard,The bomFormat property is Required.,REQUIRED,bom_format_versioning,Document structure and conformance,Structural conformance and validation,shared-validation,inventory/provenance,BOM Format and Versioning
CDX-0016,6 CycloneDX Bill of Materials Standard,"The value of bomFormat must be ""CycloneDX"".",REQUIRED,bom_format_versioning,Document structure and conformance,Structural conformance and validation,shared-validation,inventory/provenance,BOM Format and Versioning
CDX-0017,6 CycloneDX Bill of Materials Standard,The specVersion property is Required.,REQUIRED,bom_format_versioning,Document structure and conformance,Structural conformance and validation,shared-validation,inventory/provenance,BOM Format and Versioning
CDX-0018,6 CycloneDX Bill of Materials Standard,The serialNumber property is Optional.,MAY,bom_document_identity,BOM identity and references,"Provenance, identity, and trust",generator-obligation,inventory/provenance,BOM Identification
CDX-0019,6 CycloneDX Bill of Materials Standard,"Every BOM generated SHOULD have a unique serial number, even if the contents of the BOM have not changed over time.",RECOMMENDED,bom_document_identity,BOM identity and references,"Provenance, identity, and trust",generator-obligation,inventory/provenance,BOM Identification
CDX-0020,6 CycloneDX Bill of Materials Standard,"If specified, the serial number must conform to RFC 4122.",REQUIRED,bom_document_identity,BOM identity and references,"Provenance, identity, and trust",generator-obligation,inventory/provenance,BOM Identification
CDX-0021,6 CycloneDX Bill of Materials Standard,Use of serial numbers is recommended.,RECOMMENDED,bom_document_identity,BOM identity and references,"Provenance, identity, and trust",generator-obligation,inventory/provenance,BOM Identification
CDX-0022,6 CycloneDX Bill of Materials Standard,The version property is Optional.,MAY,bom_document_identity,BOM identity and references,"Provenance, identity, and trust",generator-obligation,inventory/provenance,BOM Identification
CDX-0023,6 CycloneDX Bill of Materials Standard,"Whenever an existing BOM is modified, either manually or through automated processes, the version of the BOM SHOULD be incremented by 1.",RECOMMENDED,bom_document_identity,BOM identity and references,"Provenance, identity, and trust",generator-obligation,inventory/provenance,BOM Identification
CDX-0024,6 CycloneDX Bill of Materials Standard,"When a system is presented with multiple BOMs with identical serial numbers, the system SHOULD use the most recent version of the BOM.",RECOMMENDED,bom_document_identity,BOM identity and references,"Provenance, identity, and trust",generator-obligation,inventory/provenance,BOM Identification
CDX-0025,6 CycloneDX Bill of Materials Standard,The metadata property is Optional.,MAY,root_object_population,Document structure and conformance,Structural conformance and validation,shared-validation,provenance,Root Object Model
CDX-0026,6 CycloneDX Bill of Materials Standard,The components property is Optional.,MAY,root_object_population,Document structure and conformance,Structural conformance and validation,shared-validation,provenance,Root Object Model
CDX-0027,6 CycloneDX Bill of Materials Standard,The services property is Optional.,MAY,root_object_population,Document structure and conformance,Structural conformance and validation,shared-validation,provenance,Root Object Model
CDX-0028,6 CycloneDX Bill of Materials Standard,The externalReferences property is Optional.,MAY,root_object_population,Document structure and conformance,Structural conformance and validation,shared-validation,provenance,Root Object Model
CDX-0029,6 CycloneDX Bill of Materials Standard,The dependencies property is Optional.,MAY,root_object_population,Document structure and conformance,Structural conformance and validation,shared-validation,provenance,Root Object Model
CDX-0030,6 CycloneDX Bill of Materials Standard,The compositions property is Optional.,MAY,root_object_population,Document structure and conformance,Structural conformance and validation,shared-validation,provenance,Root Object Model
CDX-0031,6 CycloneDX Bill of Materials Standard,The vulnerabilities property is Optional.,MAY,root_object_population,Document structure and conformance,Structural conformance and validation,shared-validation,provenance,Root Object Model
CDX-0032,6 CycloneDX Bill of Materials Standard,The annotations property is Optional.,MAY,root_object_population,Document structure and conformance,Structural conformance and validation,shared-validation,provenance,Root Object Model
CDX-0033,6 CycloneDX Bill of Materials Standard,The formulation property is Optional.,MAY,root_object_population,Document structure and conformance,Structural conformance and validation,shared-validation,provenance,Root Object Model
CDX-0034,6 CycloneDX Bill of Materials Standard,The declarations property is Optional.,MAY,root_object_population,Document structure and conformance,Structural conformance and validation,shared-validation,provenance,Root Object Model
CDX-0035,6 CycloneDX Bill of Materials Standard,The definitions property is Optional.,MAY,root_object_population,Document structure and conformance,Structural conformance and validation,shared-validation,provenance,Root Object Model
CDX-0036,6.1 BOM Format,The bomFormat property is Required.,REQUIRED,bom_format_versioning,Document structure and conformance,Structural conformance and validation,shared-validation,inventory/provenance,BOM Format and Versioning
CDX-0037,6.1 BOM Format,"The value of bomFormat must be ""CycloneDX"".",REQUIRED,bom_format_versioning,Document structure and conformance,Structural conformance and validation,shared-validation,inventory/provenance,BOM Format and Versioning
CDX-0038,6.2 CycloneDX Specification Version,The specVersion property is Required.,REQUIRED,bom_format_versioning,Document structure and conformance,Structural conformance and validation,shared-validation,inventory/provenance,BOM Format and Versioning
CDX-0039,6.3 BOM Serial Number,The serialNumber property is Optional.,MAY,bom_document_identity,BOM identity and references,"Provenance, identity, and trust",generator-obligation,inventory/provenance,BOM Identification
CDX-0040,6.3 BOM Serial Number,"Every BOM generated SHOULD have a unique serial number, even if the contents of the BOM have not changed over time.",RECOMMENDED,bom_document_identity,BOM identity and references,"Provenance, identity, and trust",generator-obligation,inventory/provenance,BOM Identification
CDX-0041,6.3 BOM Serial Number,"If specified, the serial number must conform to RFC 4122.",REQUIRED,bom_document_identity,BOM identity and references,"Provenance, identity, and trust",generator-obligation,inventory/provenance,BOM Identification
CDX-0042,6.3 BOM Serial Number,Use of serial numbers is recommended.,RECOMMENDED,bom_document_identity,BOM identity and references,"Provenance, identity, and trust",generator-obligation,inventory/provenance,BOM Identification
CDX-0043,6.4 BOM Version,The version property is Optional.,MAY,bom_document_identity,BOM identity and references,"Provenance, identity, and trust",generator-obligation,inventory/provenance,BOM Identification
CDX-0044,6.4 BOM Version,"Whenever an existing BOM is modified, either manually or through automated processes, the version of the BOM SHOULD be incremented by 1.",RECOMMENDED,bom_document_identity,BOM identity and references,"Provenance, identity, and trust",generator-obligation,inventory/provenance,BOM Identification
CDX-0045,6.4 BOM Version,"When a system is presented with multiple BOMs with identical serial numbers, the system SHOULD use the most recent version of the BOM.",RECOMMENDED,bom_document_identity,BOM identity and references,"Provenance, identity, and trust",generator-obligation,inventory/provenance,BOM Identification
CDX-0046,7 BOM Metadata,The metadata property is Optional.,MAY,document_metadata_population,Producer and document metadata,"Provenance, identity, and trust",generator-population,provenance,BOM Metadata
CDX-0047,7 BOM Metadata,The tools property is Optional.,MAY,document_metadata_population,Producer and document metadata,"Provenance, identity, and trust",generator-population,provenance,BOM Metadata
CDX-0048,7 BOM Metadata,The manufacturer property is Optional.,MAY,document_metadata_population,Producer and document metadata,"Provenance, identity, and trust",generator-population,provenance,BOM Metadata
CDX-0049,7 BOM Metadata,The authors property is Optional.,MAY,document_metadata_population,Producer and document metadata,"Provenance, identity, and trust",generator-population,provenance,BOM Metadata
CDX-0050,7 BOM Metadata,The component property is Optional.,MAY,document_metadata_population,Producer and document metadata,"Provenance, identity, and trust",generator-population,provenance,BOM Metadata
CDX-0051,7 BOM Metadata,The manufacture property is Optional and Deprecated.,MAY,document_metadata_population,Producer and document metadata,"Provenance, identity, and trust",generator-population,provenance,BOM Metadata
CDX-0052,7 BOM Metadata,The supplier property is Optional.,MAY,document_metadata_population,Producer and document metadata,"Provenance, identity, and trust",generator-population,provenance,BOM Metadata
CDX-0053,7 BOM Metadata,The licenses property is Optional.,MAY,document_metadata_population,Producer and document metadata,"Provenance, identity, and trust",generator-population,provenance,BOM Metadata
CDX-0054,7.1 Timestamp,The timestamp property is Optional.,MAY,timestamp_population,Producer and document metadata,"Provenance, identity, and trust",generator-population,provenance,Timestamping
CDX-0055,7.2 Lifecycles,The lifecycles property is Optional.,MAY,field_level_constraint,Document structure and conformance,Structural conformance and validation,generator-population,inventory/provenance,Lifecycle Information
CDX-0056,7.2 Lifecycles,Each item of this array must be a Lifecycle object.,REQUIRED,field_level_constraint,Document structure and conformance,Structural conformance and validation,generator-population,inventory/provenance,Lifecycle Information
CDX-0057,7.2.1 Lifecycle,The Lifecycle object Must be one of: Pre-Defined Phase.,REQUIRED,field_level_constraint,Document structure and conformance,Structural conformance and validation,generator-population,inventory/provenance,Lifecycle Information
CDX-0058,7.2.1 Lifecycle,The Lifecycle object Must be one of: Custom Phase.,REQUIRED,field_level_constraint,Document structure and conformance,Structural conformance and validation,generator-population,inventory/provenance,Lifecycle Information
CDX-0059,7.2.2 Pre-Defined Phase,The phase property is Required.,REQUIRED,field_level_constraint,Document structure and conformance,Structural conformance and validation,generator-population,inventory/provenance,Lifecycle Information
CDX-0060,7.2.3 Custom Phase,The name property is Required.,REQUIRED,field_level_constraint,Document structure and conformance,Structural conformance and validation,generator-population,inventory/provenance,Lifecycle Information
CDX-0061,7.2.3 Custom Phase,The description property is Optional.,MAY,field_level_constraint,Document structure and conformance,Structural conformance and validation,generator-population,inventory/provenance,Lifecycle Information
CDX-0062,7.2.4 Phase,The lifecycles property is Required.,REQUIRED,field_level_constraint,Document structure and conformance,Structural conformance and validation,generator-population,inventory/provenance,Lifecycle Information
CDX-0063,7.2.5 Name,The lifecycles property is Required.,REQUIRED,field_level_constraint,Document structure and conformance,Structural conformance and validation,generator-population,inventory/provenance,Lifecycle Information
CDX-0064,7.2.6 Description,The lifecycles property is Optional.,MAY,field_level_constraint,Document structure and conformance,Structural conformance and validation,generator-population,inventory/provenance,Lifecycle Information
CDX-0065,7.3 Tools,The tools property is Optional.,MAY,tool_metadata_population,Producer and document metadata,"Provenance, identity, and trust",generator-population,provenance,Tooling Information
CDX-0066,7.3 Tools,The tools object Must be one of: Tools.,REQUIRED,tool_metadata_population,Producer and document metadata,"Provenance, identity, and trust",generator-population,provenance,Tooling Information
CDX-0067,7.3 Tools,The tools object Must be one of: Tools (legacy).,REQUIRED,tool_metadata_population,Producer and document metadata,"Provenance, identity, and trust",generator-population,provenance,Tooling Information
CDX-0068,7.3.1 Tools,The components property is Optional.,MAY,tool_metadata_population,Producer and document metadata,"Provenance, identity, and trust",generator-population,provenance,Tooling Information
CDX-0069,7.3.1 Tools,The services property is Optional.,MAY,tool_metadata_population,Producer and document metadata,"Provenance, identity, and trust",generator-population,provenance,Tooling Information
CDX-0070,7.3.3 Components,The tools property is Optional.,MAY,tool_metadata_population,Producer and document metadata,"Provenance, identity, and trust",generator-population,provenance,Tooling Information
CDX-0071,7.3.3 Components,Each item of this array must be a Component object.,REQUIRED,tool_metadata_population,Producer and document metadata,"Provenance, identity, and trust",generator-population,provenance,Tooling Information
CDX-0072,7.3.3.1 Component,All items must be unique.,REQUIRED,tool_metadata_population,Producer and document metadata,"Provenance, identity, and trust",generator-population,provenance,Tooling Information
CDX-0073,7.3.4 Services,The tools property is Optional.,MAY,tool_metadata_population,Producer and document metadata,"Provenance, identity, and trust",generator-population,provenance,Tooling Information
CDX-0074,7.3.4 Services,Each item of this array must be a Service object.,REQUIRED,tool_metadata_population,Producer and document metadata,"Provenance, identity, and trust",generator-population,provenance,Tooling Information
CDX-0075,7.3.4.1 Service,All items must be unique.,REQUIRED,tool_metadata_population,Producer and document metadata,"Provenance, identity, and trust",generator-population,provenance,Tooling Information
CDX-0076,7.3.4.1.1 Tools (legacy),Each item of this array must be a Tool object.,REQUIRED,tool_metadata_population,Producer and document metadata,"Provenance, identity, and trust",generator-population,provenance,Tooling Information
CDX-0077,7.3.5 Tool,The vendor property is Optional.,MAY,tool_metadata_population,Producer and document metadata,"Provenance, identity, and trust",generator-population,provenance,Tooling Information
CDX-0078,7.3.5 Tool,The name property is Optional.,MAY,tool_metadata_population,Producer and document metadata,"Provenance, identity, and trust",generator-population,provenance,Tooling Information
CDX-0079,7.3.5 Tool,The version property is Optional.,MAY,tool_metadata_population,Producer and document metadata,"Provenance, identity, and trust",generator-population,provenance,Tooling Information
CDX-0080,7.3.5 Tool,The hashes property is Optional.,MAY,tool_metadata_population,Producer and document metadata,"Provenance, identity, and trust",generator-population,provenance,Tooling Information
CDX-0081,7.3.5 Tool,The externalReferences property is Optional.,MAY,tool_metadata_population,Producer and document metadata,"Provenance, identity, and trust",generator-population,provenance,Tooling Information
CDX-0082,7.3.5.1 Tool Vendor,The vendor property is Optional.,MAY,tool_metadata_population,Producer and document metadata,"Provenance, identity, and trust",generator-population,provenance,Tooling Information
CDX-0083,7.3.5.2 Tool Name,The name property is Optional.,MAY,tool_metadata_population,Producer and document metadata,"Provenance, identity, and trust",generator-population,provenance,Tooling Information
CDX-0084,7.3.5.3 Tool Version,The version property is Optional.,MAY,tool_metadata_population,Producer and document metadata,"Provenance, identity, and trust",generator-population,provenance,Tooling Information
CDX-0085,7.3.5.4 Hashes,The hashes property is Optional.,MAY,hash_integrity_population,Integrity metadata,"Provenance, identity, and trust",generator-population,inventory/provenance,Cryptographic Hashes
CDX-0086,7.3.5.4 Hashes,Each item of this array must be a Hash object.,REQUIRED,hash_integrity_population,Integrity metadata,"Provenance, identity, and trust",generator-population,inventory/provenance,Cryptographic Hashes
CDX-0087,7.3.5.4.1 Hash,The alg property is Required.,REQUIRED,hash_integrity_population,Integrity metadata,"Provenance, identity, and trust",generator-population,inventory/provenance,Cryptographic Hashes
CDX-0088,7.3.5.4.1 Hash,The content property is Required.,REQUIRED,hash_integrity_population,Integrity metadata,"Provenance, identity, and trust",generator-population,inventory/provenance,Cryptographic Hashes
CDX-0089,7.3.5.4.2 Hash Algorithm,The alg property is Required.,REQUIRED,hash_integrity_population,Integrity metadata,"Provenance, identity, and trust",generator-population,inventory/provenance,Cryptographic Hashes
CDX-0090,7.3.5.4.2 Hash Algorithm,The hash algorithm Must be one of: MD5.,REQUIRED,hash_integrity_population,Integrity metadata,"Provenance, identity, and trust",generator-population,inventory/provenance,Cryptographic Hashes
CDX-0091,7.3.5.4.2 Hash Algorithm,The hash algorithm Must be one of: SHA-1.,REQUIRED,hash_integrity_population,Integrity metadata,"Provenance, identity, and trust",generator-population,inventory/provenance,Cryptographic Hashes
CDX-0092,7.3.5.4.2 Hash Algorithm,The hash algorithm Must be one of: SHA-256.,REQUIRED,hash_integrity_population,Integrity metadata,"Provenance, identity, and trust",generator-population,inventory/provenance,Cryptographic Hashes
CDX-0093,7.3.5.4.2 Hash Algorithm,The hash algorithm Must be one of: SHA-384.,REQUIRED,hash_integrity_population,Integrity metadata,"Provenance, identity, and trust",generator-population,inventory/provenance,Cryptographic Hashes
CDX-0094,7.3.5.4.2 Hash Algorithm,The hash algorithm Must be one of: SHA-512.,REQUIRED,hash_integrity_population,Integrity metadata,"Provenance, identity, and trust",generator-population,inventory/provenance,Cryptographic Hashes
CDX-0095,7.3.5.4.2 Hash Algorithm,The hash algorithm Must be one of: SHA3-256.,REQUIRED,hash_integrity_population,Integrity metadata,"Provenance, identity, and trust",generator-population,inventory/provenance,Cryptographic Hashes
CDX-0096,7.3.5.4.2 Hash Algorithm,The hash algorithm Must be one of: SHA3-384.,REQUIRED,hash_integrity_population,Integrity metadata,"Provenance, identity, and trust",generator-population,inventory/provenance,Cryptographic Hashes
CDX-0097,7.3.5.4.2 Hash Algorithm,The hash algorithm Must be one of: SHA3-512.,REQUIRED,hash_integrity_population,Integrity metadata,"Provenance, identity, and trust",generator-population,inventory/provenance,Cryptographic Hashes
CDX-0098,7.3.5.4.2 Hash Algorithm,The hash algorithm Must be one of: BLAKE2b-256.,REQUIRED,hash_integrity_population,Integrity metadata,"Provenance, identity, and trust",generator-population,inventory/provenance,Cryptographic Hashes
CDX-0099,7.3.5.4.2 Hash Algorithm,The hash algorithm Must be one of: BLAKE2b-384.,REQUIRED,hash_integrity_population,Integrity metadata,"Provenance, identity, and trust",generator-population,inventory/provenance,Cryptographic Hashes
CDX-0100,7.3.5.4.2 Hash Algorithm,The hash algorithm Must be one of: BLAKE2b-512.,REQUIRED,hash_integrity_population,Integrity metadata,"Provenance, identity, and trust",generator-population,inventory/provenance,Cryptographic Hashes
CDX-0101,7.3.5.4.2 Hash Algorithm,The hash algorithm Must be one of: BLAKE3.,REQUIRED,hash_integrity_population,Integrity metadata,"Provenance, identity, and trust",generator-population,inventory/provenance,Cryptographic Hashes
CDX-0102,7.3.5.4.3 Hash Value,The content property is Required.,REQUIRED,hash_integrity_population,Integrity metadata,"Provenance, identity, and trust",generator-population,inventory/provenance,Cryptographic Hashes
CDX-0103,7.3.5.5 External References,The externalReferences property is Optional.,MAY,external_reference_population,External identifiers and references,Component inventory and identity,generator-population,inventory/provenance,External References
CDX-0104,7.3.5.5 External References,Each item of this array must be an External Reference object.,REQUIRED,external_reference_population,External identifiers and references,Component inventory and identity,generator-population,inventory/provenance,External References
CDX-0105,7.4 BOM Manufacturer,The manufacturer property is Optional.,MAY,entity_provenance_population,Producer and document metadata,"Provenance, identity, and trust",generator-population,provenance,Organizational Entity Definition
CDX-0106,7.4 BOM Manufacturer,The bom-ref property is Optional.,MAY,bom_ref_identity_links,BOM identity and references,"Provenance, identity, and trust",generator-population,provenance,Internal Referencing (bom-ref)
CDX-0107,7.4 BOM Manufacturer,Every bom-ref must be unique within the BOM.,REQUIRED,bom_ref_identity_links,BOM identity and references,"Provenance, identity, and trust",generator-population,provenance,Internal Referencing (bom-ref)
CDX-0108,7.4 BOM Manufacturer,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,RECOMMENDED,bom_ref_identity_links,BOM identity and references,"Provenance, identity, and trust",generator-population,provenance,Internal Referencing (bom-ref)
CDX-0109,7.4 BOM Manufacturer,The name property is Optional.,MAY,entity_provenance_population,Producer and document metadata,"Provenance, identity, and trust",generator-population,provenance,Organizational Entity Definition
CDX-0110,7.4 BOM Manufacturer,The address property is Optional.,MAY,entity_provenance_population,Producer and document metadata,"Provenance, identity, and trust",generator-population,provenance,Organizational Entity Definition
CDX-0111,7.4 BOM Manufacturer,The url property is Optional.,MAY,entity_provenance_population,Producer and document metadata,"Provenance, identity, and trust",generator-population,provenance,Organizational Entity Definition
CDX-0112,7.4 BOM Manufacturer,The contact property is Optional.,MAY,entity_provenance_population,Producer and document metadata,"Provenance, identity, and trust",generator-population,provenance,Organizational Entity Definition
CDX-0113,7.4.1 BOM Reference,The bom-ref property is Optional.,MAY,bom_ref_identity_links,BOM identity and references,"Provenance, identity, and trust",generator-population,provenance,Internal Referencing (bom-ref)
CDX-0114,7.4.1 BOM Reference,Every bom-ref must be unique within the BOM.,REQUIRED,bom_ref_identity_links,BOM identity and references,"Provenance, identity, and trust",generator-population,provenance,Internal Referencing (bom-ref)
CDX-0115,7.4.1 BOM Reference,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,RECOMMENDED,bom_ref_identity_links,BOM identity and references,"Provenance, identity, and trust",generator-population,provenance,Internal Referencing (bom-ref)
CDX-0116,7.4.2 Organization Name,The name property is Optional.,MAY,entity_provenance_population,Producer and document metadata,"Provenance, identity, and trust",generator-population,provenance,Organizational Entity Definition
CDX-0117,7.4.3 Organization Address,The address property is Optional.,MAY,entity_provenance_population,Producer and document metadata,"Provenance, identity, and trust",generator-population,provenance,Organizational Entity Definition
CDX-0118,7.4.3 Organization Address,The bom-ref property is Optional.,MAY,bom_ref_identity_links,BOM identity and references,"Provenance, identity, and trust",generator-population,provenance,Internal Referencing (bom-ref)
CDX-0119,7.4.3 Organization Address,Every bom-ref must be unique within the BOM.,REQUIRED,bom_ref_identity_links,BOM identity and references,"Provenance, identity, and trust",generator-population,provenance,Internal Referencing (bom-ref)
CDX-0120,7.4.3 Organization Address,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,RECOMMENDED,bom_ref_identity_links,BOM identity and references,"Provenance, identity, and trust",generator-population,provenance,Internal Referencing (bom-ref)
CDX-0121,7.4.3 Organization Address,The country property is Optional.,MAY,entity_provenance_population,Producer and document metadata,"Provenance, identity, and trust",generator-population,provenance,Organizational Entity Definition
CDX-0122,7.4.3 Organization Address,The region property is Optional.,MAY,entity_provenance_population,Producer and document metadata,"Provenance, identity, and trust",generator-population,provenance,Organizational Entity Definition
CDX-0123,7.4.3 Organization Address,The locality property is Optional.,MAY,entity_provenance_population,Producer and document metadata,"Provenance, identity, and trust",generator-population,provenance,Organizational Entity Definition
CDX-0124,7.4.3 Organization Address,The postOfficeBoxNumber property is Optional.,MAY,entity_provenance_population,Producer and document metadata,"Provenance, identity, and trust",generator-population,provenance,Organizational Entity Definition
CDX-0125,7.4.3 Organization Address,The postalCode property is Optional.,MAY,entity_provenance_population,Producer and document metadata,"Provenance, identity, and trust",generator-population,provenance,Organizational Entity Definition
CDX-0126,7.4.3 Organization Address,The streetAddress property is Optional.,MAY,entity_provenance_population,Producer and document metadata,"Provenance, identity, and trust",generator-population,provenance,Organizational Entity Definition
CDX-0127,7.4.3.1 BOM Reference,The bom-ref property is Optional.,MAY,bom_ref_identity_links,BOM identity and references,"Provenance, identity, and trust",generator-population,provenance,Internal Referencing (bom-ref)
CDX-0128,7.4.3.1 BOM Reference,Every bom-ref must be unique within the BOM.,REQUIRED,bom_ref_identity_links,BOM identity and references,"Provenance, identity, and trust",generator-population,provenance,Internal Referencing (bom-ref)
CDX-0129,7.4.3.1 BOM Reference,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,RECOMMENDED,bom_ref_identity_links,BOM identity and references,"Provenance, identity, and trust",generator-population,provenance,Internal Referencing (bom-ref)
CDX-0130,7.4.3.2 Country,The country property is Optional.,MAY,entity_provenance_population,Producer and document metadata,"Provenance, identity, and trust",generator-population,provenance,Organizational Entity Definition
CDX-0131,7.4.3.3 Region,The region property is Optional.,MAY,entity_provenance_population,Producer and document metadata,"Provenance, identity, and trust",generator-population,provenance,Organizational Entity Definition
CDX-0132,7.4.3.4 Locality,The locality property is Optional.,MAY,entity_provenance_population,Producer and document metadata,"Provenance, identity, and trust",generator-population,provenance,Organizational Entity Definition
CDX-0133,7.4.3.5 Post Office Box Number,The postOfficeBoxNumber property is Optional.,MAY,entity_provenance_population,Producer and document metadata,"Provenance, identity, and trust",generator-population,provenance,Organizational Entity Definition
CDX-0134,7.4.3.6 Postal Code,The postalCode property is Optional.,MAY,entity_provenance_population,Producer and document metadata,"Provenance, identity, and trust",generator-population,provenance,Organizational Entity Definition
CDX-0135,7.4.3.7 Street Address,The streetAddress property is Optional.,MAY,entity_provenance_population,Producer and document metadata,"Provenance, identity, and trust",generator-population,provenance,Organizational Entity Definition
CDX-0136,7.4.4 Organization URL(s),The url property is Optional.,MAY,entity_provenance_population,Producer and document metadata,"Provenance, identity, and trust",generator-population,provenance,Organizational Entity Definition
CDX-0137,7.4.4 Organization URL(s),Each item of this array must be a string.,REQUIRED,entity_provenance_population,Producer and document metadata,"Provenance, identity, and trust",generator-population,provenance,Organizational Entity Definition
CDX-0138,7.4.5 Organizational Contact,The contact property is Optional.,MAY,contact_provenance_population,Producer and document metadata,"Provenance, identity, and trust",generator-population,inventory/provenance,Contact Information
CDX-0139,7.4.5 Organizational Contact,Each item of this array must be an Organizational Contact object.,REQUIRED,contact_provenance_population,Producer and document metadata,"Provenance, identity, and trust",generator-population,inventory/provenance,Contact Information
CDX-0140,7.4.5.1 Organizational Contact,The bom-ref property is Optional.,MAY,bom_ref_identity_links,BOM identity and references,"Provenance, identity, and trust",generator-population,provenance,Internal Referencing (bom-ref)
CDX-0141,7.4.5.1 Organizational Contact,Every bom-ref must be unique within the BOM.,REQUIRED,bom_ref_identity_links,BOM identity and references,"Provenance, identity, and trust",generator-population,provenance,Internal Referencing (bom-ref)
CDX-0142,7.4.5.1 Organizational Contact,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,RECOMMENDED,bom_ref_identity_links,BOM identity and references,"Provenance, identity, and trust",generator-population,provenance,Internal Referencing (bom-ref)
CDX-0143,7.4.5.1 Organizational Contact,The name property is Optional.,MAY,contact_provenance_population,Producer and document metadata,"Provenance, identity, and trust",generator-population,inventory/provenance,Contact Information
CDX-0144,7.4.5.1 Organizational Contact,The email property is Optional.,MAY,contact_provenance_population,Producer and document metadata,"Provenance, identity, and trust",generator-population,inventory/provenance,Contact Information
CDX-0145,7.4.5.1 Organizational Contact,The phone property is Optional.,MAY,contact_provenance_population,Producer and document metadata,"Provenance, identity, and trust",generator-population,inventory/provenance,Contact Information
