Section ID & Heading,Primary Unit Text,Abdullah,NotebookLM
5.4.2.4 Dependencies,"Components that depend on services can be represented in the dependency graph, and services that depend on other services can be represented as well.",0,0
5.4.2.5 Compositions,"Compositions describe constituent parts (including components, services, and dependency relationships) and their completeness.",0,0
5.4.2.5 Compositions,"The aggregate of each composition can be described as complete, incomplete, incomplete first-party only, incomplete third-party only, or unknown.",0,0
5.4.2.6 Vulnerabilities,Known vulnerabilities inherited from the use of third-party and open-source software and the exploitability of the vulnerabilities can be communicated with CycloneDX.,0,0
5.4.2.6 Vulnerabilities,"Previously unknown vulnerabilities affecting both components and services may also be disclosed using CycloneDX, making it ideal for both vulnerability disclosure and VEX use cases.",0,0
5.4.2.7 Formulation,Formulation describes how something was manufactured or deployed.,0,0
5.4.2.7 Formulation,"CycloneDX achieves this through the support of multiple formulas, workflows, tasks, and steps, which represent the declared formulation for reproduction along with the observed formula describing the actions which transpired in the manufacturing process.",0,0
5.4.2.8 Annotations,"Annotations contain comments, notes, explanations, or similar textual content which provide additional context to the object(s) being annotated.",0,0
5.4.2.8 Annotations,They are often automatically added to a BOM via a tool or as a result of manual review by individuals or organizations.,0,0
5.4.2.8 Annotations,Annotations can be independently signed and verified using digital signatures.,1,0
5.4.2.9 Definitions,"Standards, requirements, levels, and all supporting documentation are defined here.",0,0
5.4.2.9 Definitions,"CycloneDX provides a general-purpose, machine-readable way to define virtually any type of standard.",0,0
5.4.2.9 Definitions,"Security standards such as OWASP ASVS, MASVS, SCVS, and SAMM are available in CycloneDX format.",0,0
5.4.2.9 Definitions,Standards from other bodies are available as well.,0,0
5.4.2.9 Definitions,"Additionally, organizations can create internal standards and represent them in CycloneDX.",1,0
5.4.2.10 Declarations,Declarations describe the conformance to standards.,0,0
5.4.2.10 Declarations,"Each declaration may include attestations, claims, counter-claims, evidence, counter-evidence, along with conformance and confidence.",1,0
5.4.2.10 Declarations,Signatories can also be declared and supports both digital and analogue signatures.,0,0
5.4.2.10 Declarations,"Declarations provide the basis for ""compliance-as-code"".",0,0
5.4.2.11 Extensions,"Multiple extension points exist throughout the CycloneDX object model, allowing fast prototyping of new capabilities and support for specialized and future use cases.",0,0
5.4.2.11 Extensions,The CycloneDX project maintains extensions that are beneficial to the larger community.,0,0
5.4.2.11 Extensions,The project encourages community participation and the development of extensions that target specialized or industry-specific use cases.,0,0
5.5 Serialization Formats,"CycloneDX can be represented in JSON, XML, and Protocol Buffers (protobuf) and has corresponding schemas for each.",0,0
5.5 Serialization Formats,"CycloneDX relies exclusively on JSON Schema, XML Schema, and protobuf for validation.",0,0
5.5 Serialization Formats,"The entirety of the specification can be validated using officially supported CycloneDX tools or via hundreds of available validators that support JSON Schema, XML Schema, or protobuf.",1,0
5.5 Serialization Formats,NOTE The CycloneDX JSON Schema is the reference implementation for the Ecma standard.,0,0
6 CycloneDX Bill of Materials Standard (Table 1 - Row 1),"bomFormat | String | Required | Specifies the format of the BOM. This helps to identify the file as CycloneDX since BOMs do not have a filename convention, nor does JSON schema support namespaces. This value must be ""CycloneDX"".",1,1
6 CycloneDX Bill of Materials Standard (Table 1 - Row 2),specVersion | String | Required | The version of the CycloneDX specification the BOM conforms to.,1,1
6 CycloneDX Bill of Materials Standard (Table 1 - Row 3),"serialNumber | String | Optional | Every BOM generated SHOULD have a unique serial number, even if the contents of the BOM have not changed over time. If specified, the serial number must conform to RFC 4122. Use of serial numbers is recommended.",1,1
6 CycloneDX Bill of Materials Standard (Table 1 - Row 4),"version | Integer | Optional | Whenever an existing BOM is modified, either manually or through automated processes, the version of the BOM SHOULD be incremented by 1. When a system is presented with multiple BOMs with identical serial numbers, the system SHOULD use the most recent version of the BOM. The default version is '1'.",1,1
6 CycloneDX Bill of Materials Standard (Table 1 - Row 5),metadata | Object | Optional | Provides additional information about a BOM.,1,1
6 CycloneDX Bill of Materials Standard (Table 1 - Row 6),components | Array | Optional | A list of software and hardware components.,1,1
6 CycloneDX Bill of Materials Standard (Table 1 - Row 7),"services | Array | Optional | A list of services. This may include microservices, function-as-a-service, and other types of network or intra-process services.",1,1
6 CycloneDX Bill of Materials Standard (Table 1 - Row 8),"externalReferences | Array | Optional | External references provide a way to document systems, sites, and information that may be relevant but are not included with the BOM. They may also establish specific relationships within or external to the BOM.",1,1
6 CycloneDX Bill of Materials Standard (Table 1 - Row 9),dependencies | Array | Optional | Provides the ability to document dependency relationships including provided & implemented components.,1,1
6 CycloneDX Bill of Materials Standard (Table 1 - Row 10),"compositions | Array | Optional | Compositions describe constituent parts (including components, services, and dependency relationships) and their completeness. The completeness of vulnerabilities expressed in a BOM may also be described.",1,1
6 CycloneDX Bill of Materials Standard (Table 1 - Row 11),vulnerabilities | Array | Optional | Vulnerabilities identified in components or services.,1,1
6 CycloneDX Bill of Materials Standard (Table 1 - Row 12),"annotations | Array | Optional | Comments made by people, organizations, or tools about any object with a bom-ref, such as components, services, vulnerabilities, or the BOM itself. Unlike inventory information, annotations may contain opinions or commentary from various stakeholders. Annotations may be inline (with inventory) or externalized via BOM-Link and may optionally be signed.",1,1
6 CycloneDX Bill of Materials Standard (Table 1 - Row 13),"formulation | Array | Optional | Describes how a component or service was manufactured or deployed. This is achieved through the use of formulas, workflows, tasks, and steps, which declare the precise steps to reproduce along with the observed formulas describing the steps which transpired in the manufacturing process.",1,1
6 CycloneDX Bill of Materials Standard (Table 1 - Row 14),"declarations | Object | Optional | The list of declarations which describe the conformance to standards. Each declaration may include attestations, claims, and evidence.",1,1
6 CycloneDX Bill of Materials Standard (Table 1 - Row 15),definitions | Object | Optional | A collection of reusable objects that are defined and may be used elsewhere in the BOM.,1,1
6 CycloneDX Bill of Materials Standard (Table 1 - Row 16),"properties | Array | Optional | Provides the ability to document properties in a name-value store. This provides flexibility to include data not officially supported in the standard without having to use additional namespaces or create extensions. Unlike key-value stores, properties support duplicate names, each potentially having different values. Property names of interest to the general public are encouraged to be registered in the CycloneDX Property Taxonomy. Formal registration is optional.",1,1
6 CycloneDX Bill of Materials Standard (Table 1 - Row 17),signature | Array | Optional | Enveloped signature in JSON Signature Format (JSF).,1,1
6.1 BOM Format,Specifies the format of the BOM.,0,0
6.1 BOM Format,"This helps to identify the file as CycloneDX since BOMs do not have a filename convention, nor does JSON schema support namespaces.",0,0
6.1 BOM Format,"This value must be ""CycloneDX"".",1,1
6.1 BOM Format,(Bullet point) CycloneDX,1,0
6.2 CycloneDX Specification Version,The version of the CycloneDX specification the BOM conforms to.,0,0
6.2 CycloneDX Specification Version,(Example bullet) 1.6,0,0
6.3 BOM Serial Number,"Every BOM generated SHOULD have a unique serial number, even if the contents of the BOM have not changed over time.",1,1
6.3 BOM Serial Number,"If specified, the serial number must conform to RFC 4122.",1,1
6.3 BOM Serial Number,Use of serial numbers is recommended.,1,1
6.3 BOM Serial Number,(Example bullet) urn:uuid:3e671687-395b-41f5-a30f-a58921a69b79,0,0
6.4 BOM Version,"Whenever an existing BOM is modified, either manually or through automated processes, the version of the BOM SHOULD be incremented by 1.",1,1
6.4 BOM Version,"When a system is presented with multiple BOMs with identical serial numbers, the system SHOULD use the most recent version of the BOM.",1,1
6.4 BOM Version,The default version is '1'.,0,0
6.4 BOM Version,(Example bullet) 1,0,0
7 BOM Metadata,Provides additional information about a BOM.,0,0
7 BOM Metadata (Table 2 - Row 1),timestamp | String | Optional | The date and time (timestamp) when the BOM was created.,1,1
7 BOM Metadata (Table 2 - Row 2),"lifecycles | Array | Optional | Lifecycles communicate the stage(s) in which data in the BOM was captured. Different types of data may be available at various phases of a lifecycle, such as the Software Development Lifecycle (SDLC), IT Asset Management (ITAM), and Software Asset Management (SAM). Thus, a BOM may include data specific to or only obtainable in a given lifecycle.",1,1
7 BOM Metadata (Table 2 - Row 3),"tools | Array | Optional | The tool(s) used in the creation, enrichment, and validation of the BOM.",1,1
7 BOM Metadata (Table 2 - Row 4),manufacturer | Object | Optional | The organization that created the BOM. Manufacturer is common in BOMs created through automated processes. BOMs created through manual means may have @.authors instead.,1,1
7 BOM Metadata (Table 2 - Row 5),authors | Array | Optional | The person(s) who created the BOM. Authors are common in BOMs created through manual processes. BOMs created through automated means may have @.manufacturer instead.,1,1
7 BOM Metadata (Table 2 - Row 6),component | Object | Optional | The component that the BOM describes.,1,1
7 BOM Metadata (Table 2 - Row 7),manufacture | Object | Optional | [Deprecated] This will be removed in a future version. Use the @.component.manufacturer instead. The organization that manufactured the component that the BOM describes.,1,1
7 BOM Metadata (Table 2 - Row 8),"supplier | Object | Optional | The organization that supplied the component that the BOM describes. The supplier may often be the manufacturer, but may also be a distributor or repackager.",1,1
7 BOM Metadata (Table 2 - Row 9),licenses | Array | Optional | The license information for the BOM document. This may be different from the license(s) of the component(s) that the BOM describes.,1,1
7 BOM Metadata (Table 2 - Row 10),"properties | Array | Optional | Provides the ability to document properties in a name-value store. This provides flexibility to include data not officially supported in the standard without having to use additional namespaces or create extensions. Unlike key-value stores, properties support duplicate names, each potentially having different values. Property names of interest to the general public are encouraged to be registered in the CycloneDX Property Taxonomy. Formal registration is optional.",1,1
7.1 Timestamp,The date and time (timestamp) when the BOM was created.,0,0
7.2 Lifecycles,Lifecycles communicate the stage(s) in which data in the BOM was captured.,0,0
7.2 Lifecycles,"Different types of data may be available at various phases of a lifecycle, such as the Software Development Lifecycle (SDLC), IT Asset Management (ITAM), and Software Asset Management (SAM).",0,0
7.2 Lifecycles,"Thus, a BOM may include data specific to or only obtainable in a given lifecycle.",0,0
7.2 Lifecycles,Each item of this array must be a Lifecycle object.,1,1
7.2.1 Lifecycle,The product lifecycle(s) that this BOM represents.,0,0
7.2.1 Lifecycle,(Bullet point) 1. Pre-Defined Phase,1,1
7.2.1 Lifecycle,(Bullet point) 2. Custom Phase,1,1
7.2.2 Pre-Defined Phase (Table 3 - Row 1),phase | String | Required | A pre-defined phase in the product lifecycle.,1,1
7.2.3 Custom Phase (Table 4 - Row 1),name | String | Required | The name of the lifecycle phase,1,1
7.2.3 Custom Phase (Table 4 - Row 2),description | String | Optional | The description of the lifecycle phase,1,1
7.2.4 Phase,A pre-defined phase in the product lifecycle.,1,1
7.2.5 Name,The name of the lifecycle phase,1,1
7.2.6 Description,The description of the lifecycle phase,1,1
7.3 Tools,"The tool(s) used in the creation, enrichment, and validation of the BOM.",0,0
7.3 Tools,(Bullet point) 1. Tools,1,1
7.3 Tools,(Bullet point) 2. Tools (legacy),1,1
7.3.1 Tools,"The tool(s) used in the creation, enrichment, and validation of the BOM.",0,0
7.3.1 Tools (Table 6 - Row 1),components | Array | Optional | A list of software and hardware components used as tools. Refer to the component definition at /components/[],1,1
7.3.1 Tools (Table 6 - Row 2),"services | Array | Optional | A list of services used as tools. This may include microservices, function-as-a-service, and other types of network or intra-process services. Refer to the service definition at /services/[]",1,1
7.3.2 Tools (legacy),"[Deprecated] The tool(s) used in the creation, enrichment, and validation of the BOM.",0,0
7.3.3 Components,A list of software and hardware components used as tools.,0,0
7.3.3 Components,Each item of this array must be a Component object.,1,1
7.3.3.1 Component,Refer to the component definition at /components/[],0,0
7.3.3.1 Component,All items must be unique.,1,1
7.3.4 Services,A list of services used as tools.,0,0
7.3.4 Services,"This may include microservices, function-as-a-service, and other types of network or intra-process services.",0,0
7.3.4 Services,Each item of this array must be a Service object.,1,1
7.3.4.1 Service,Refer to the service definition at /services/[],0,0
7.3.4.1 Service,All items must be unique.,1,1
7.3.4.1.1 Tools (legacy),"[Deprecated] The tool(s) used in the creation, enrichment, and validation of the BOM.",0,0
7.3.4.1.1 Tools (legacy),Each item of this array must be a Tool object.,1,1
7.3.5 Tool,[Deprecated] This will be removed in a future version.,0,0
7.3.5 Tool,Use component or service instead.,0,1
7.3.5 Tool,Information about the automated or manual tool used,0,0
7.3.5 Tool (Table 7 - Row 1),vendor | String | Optional | The name of the vendor who created the tool,1,1
7.3.5 Tool (Table 7 - Row 2),name | String | Optional | The name of the tool,1,1
7.3.5 Tool (Table 7 - Row 3),version | String | Optional | The version of the tool,1,1
7.3.5 Tool (Table 7 - Row 4),hashes | Array | Optional | The hashes of the tool (if applicable).,1,1
7.3.5 Tool (Table 7 - Row 5),"externalReferences | Array | Optional | External references provide a way to document systems, sites, and information that may be relevant, but are not included with the BOM. They may also establish specific relationships within or external to the BOM.",1,1
7.3.5.1 Tool Vendor,The name of the vendor who created the tool,0,0
7.3.5.2 Tool Name,The name of the tool,0,0
7.3.5.3 Tool Version,The version of the tool,0,0
7.3.5.3 Tool Version,(Example bullet) 9.0.14,0,0
7.3.5.3 Tool Version,(Example bullet) v1.33.7,0,0
7.3.5.3 Tool Version,(Example bullet) 7.0.0-M1,0,0
7.3.5.3 Tool Version,(Example bullet) 2.0pre1,0,0
7.3.5.3 Tool Version,(Example bullet) 1.0.0-beta1,0,0
7.3.5.3 Tool Version,(Example bullet) 0.8.15,0,0
7.3.5.4 Hashes,The hashes of the tool (if applicable).,0,0
7.3.5.4 Hashes,Each item of this array must be a Hash object.,1,1
7.3.5.4.1 Hash (Table 8 - Row 1),alg | String | Required | The algorithm that generated the hash value.,1,1
7.3.5.4.1 Hash (Table 8 - Row 2),content | String | Required | The value of the hash.,1,1
7.3.5.4.2 Hash Algorithm,The algorithm that generated the hash value.,0,0
7.3.5.4.2 Hash Algorithm,(Bullet point) MD5,0,1
7.3.5.4.2 Hash Algorithm,(Bullet point) SHA-1,0,1
7.3.5.4.2 Hash Algorithm,(Bullet point) SHA-256,0,1
7.3.5.4.2 Hash Algorithm,(Bullet point) SHA-384,0,1
7.3.5.4.2 Hash Algorithm,(Bullet point) SHA-512,0,1
7.3.5.4.2 Hash Algorithm,(Bullet point) SHA3-256,0,1
7.3.5.4.2 Hash Algorithm,(Bullet point) SHA3-384,0,1
7.3.5.4.2 Hash Algorithm,(Bullet point) SHA3-512,0,1
7.3.5.4.2 Hash Algorithm,(Bullet point) BLAKE2b-256,0,1
7.3.5.4.2 Hash Algorithm,(Bullet point) BLAKE2b-384,0,1
7.3.5.4.2 Hash Algorithm,(Bullet point) BLAKE2b-512,0,1
7.3.5.4.2 Hash Algorithm,(Bullet point) BLAKE3,0,1
7.3.5.4.3 Hash Value,The value of the hash.,0,0
7.3.5.4.3 Hash Value,(Example bullet) 3942447fac867ae5cdb3229b658f4d48,0,0
7.3.5.5 External References,"External references provide a way to document systems, sites, and information that may be relevant, but are not included with the BOM.",0,0
7.3.5.5 External References,They may also establish specific relationships within or external to the BOM.,1,0
7.3.5.5 External References,Each item of this array must be an External Reference object.,1,1
7.3.5.5.1 External Reference,"External references provide a way to document systems, sites, and information that may be relevant but are not included with the BOM.",0,0
7.3.5.5.1 External Reference,They may also establish specific relationships within or external to the BOM.,0,0
7.4 BOM Manufacturer,The organization that created the BOM.,0,0
7.4 BOM Manufacturer,Manufacturer is common in BOMs created through automated processes.,0,0
7.4 BOM Manufacturer,BOMs created through manual means may have @.authors instead.,1,1
7.4 BOM Manufacturer (Table 9 - Row 1),bom-ref | String | Optional | An optional identifier which can be used to reference the object elsewhere in the BOM. Every bom-ref must be unique within the BOM. Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,1,1
7.4 BOM Manufacturer (Table 9 - Row 2),name | String | Optional | The name of the organization,1,1
7.4 BOM Manufacturer (Table 9 - Row 3),address | Object | Optional | The physical address (location) of the organization,1,1
7.4 BOM Manufacturer (Table 9 - Row 4),url | Array | Optional | The URL of the organization. Multiple URLs are allowed.,1,1
7.4 BOM Manufacturer (Table 9 - Row 5),contact | Array | Optional | A contact at the organization. Multiple contacts are allowed.,1,1
7.4.1 BOM Reference,An optional identifier which can be used to reference the object elsewhere in the BOM.,0,0
7.4.1 BOM Reference,Every bom-ref must be unique within the BOM.,1,1
7.4.1 BOM Reference,Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,1,1
7.4.2 Organization Name,The name of the organization,0,0
7.4.2 Organization Name,(Example bullet) Example Inc.,0,0
7.4.3 Organization Address,The physical address (location) of the organization,0,0
7.4.3 Organization Address (Table 10 - Row 1),bom-ref | String | Optional | An optional identifier which can be used to reference the address elsewhere in the BOM. Every bom-ref must be unique within the BOM. Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,1,1
7.4.3 Organization Address (Table 10 - Row 2),country | String | Optional | The country name or the two-letter ISO 3166-1 country code.,1,1
7.4.3 Organization Address (Table 10 - Row 3),region | String | Optional | The region or state in the country.,1,1
7.4.3 Organization Address (Table 10 - Row 4),locality | String | Optional | The locality or city within the country.,1,1
7.4.3 Organization Address (Table 10 - Row 5),postOfficeBoxNumber | String | Optional | The post office box number.,1,1
7.4.3 Organization Address (Table 10 - Row 6),postalCode | String | Optional | The postal code.,1,1
7.4.3 Organization Address (Table 10 - Row 7),streetAddress | String | Optional | The street address.,1,1
7.4.3.1 BOM Reference,An optional identifier which can be used to reference the address elsewhere in the BOM.,0,0
7.4.3.1 BOM Reference,Every bom-ref must be unique within the BOM.,1,1
7.4.3.1 BOM Reference,Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,1,1
7.4.3.2 Country,The country name or the two-letter ISO 3166-1 country code.,0,0
7.4.3.3 Region,The region or state in the country.,0,0
7.4.3.3 Region,(Example bullet) Texas,0,0
7.4.3.4 Locality,The locality or city within the country.,0,0
7.4.3.4 Locality,(Example bullet) Austin,0,0
7.4.3.5 Post Office Box Number,The post office box number.,0,0
7.4.3.5 Post Office Box Number,(Example bullet) 901,0,0
7.4.3.6 Postal Code,The postal code.,0,0
7.4.3.6 Postal Code,(Example bullet) 78758,0,0
7.4.3.7 Street Address,The street address.,0,0
7.4.3.7 Street Address,(Example bullet) 100 Main Street,0,0
7.4.4 Organization URL(s),The URL of the organization.,0,0
7.4.4 Organization URL(s),Multiple URLs are allowed.,0,0
7.4.4 Organization URL(s),Each item of this array must be a string.,1,1
7.4.4 Organization URL(s),(Example bullet) https://example.com,0,0
7.4.5 Organizational Contact,A contact at the organization.,0,0
7.4.5 Organizational Contact,Multiple contacts are allowed.,0,0
7.4.5 Organizational Contact,Each item of this array must be an Organizational Contact object.,1,1
7.4.5.1 Organizational Contact (Table 11 - Row 1),bom-ref | String | Optional | An optional identifier which can be used to reference the object elsewhere in the BOM. Every bom-ref must be unique within the BOM. Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,1,1
7.4.5.1 Organizational Contact (Table 11 - Row 2),name | String | Optional | The name of a contact,1,1
7.4.5.1 Organizational Contact (Table 11 - Row 3),email | String | Optional | The email address of the contact.,1,1
7.4.5.1 Organizational Contact (Table 11 - Row 4),phone | String | Optional | The phone number of the contact.,1,1
7.4.5.1.1 BOM Reference,An optional identifier which can be used to reference the object elsewhere in the BOM.,0,0
7.4.5.1.1 BOM Reference,Every bom-ref must be unique within the BOM.,1,1
7.4.5.1.1 BOM Reference,Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,1,1
7.4.5.1.2 Name,The name of a contact,0,0
7.4.5.1.2 Name,(Example bullet) Contact name,0,0
7.4.5.1.3 Email Address,The email address of the contact.,0,0
7.4.5.1.3 Email Address,(Example bullet) firstname.lastname@example.com,0,0
7.4.5.1.4 Phone,The phone number of the contact.,0,0
7.4.5.1.4 Phone,(Example bullet) 800-555-1212,0,0
7.5 BOM Authors,The person(s) who created the BOM.,0,0
7.5 BOM Authors,Authors are common in BOMs created through manual processes.,0,0
7.5 BOM Authors,BOMs created through automated means may have @.manufacturer instead.,1,1
7.5 BOM Authors,Each item of this array must be an Organizational Contact object.,1,1
7.5.1 Organizational Contact (Table 12 - Row 1),bom-ref | String | Optional | An optional identifier which can be used to reference the object elsewhere in the BOM. Every bom-ref must be unique within the BOM. Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,1,1
7.5.1 Organizational Contact (Table 12 - Row 2),name | String | Optional | The name of a contact,1,1
7.5.1 Organizational Contact (Table 12 - Row 3),email | String | Optional | The email address of the contact.,1,1
7.5.1 Organizational Contact (Table 12 - Row 4),phone | String | Optional | The phone number of the contact.,1,1
7.5.1.1 BOM Reference,An optional identifier which can be used to reference the object elsewhere in the BOM.,0,0
7.5.1.1 BOM Reference,Every bom-ref must be unique within the BOM.,1,1
7.5.1.1 BOM Reference,Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,1,1
7.5.1.2 Name,The name of a contact,0,0
7.5.1.2 Name,(Example bullet) Contact name,0,0
7.5.1.3 Email Address,The email address of the contact.,0,0
7.5.1.3 Email Address,(Example bullet) firstname.lastname@example.com,0,0
7.5.1.4 Phone,The phone number of the contact.,0,0
7.5.1.4 Phone,(Example bullet) 800-555-1212,0,0
7.6 Component,The component that the BOM describes.,0,0
7.6 Component,Refer to the component definition at /components/[],0,0
7.7 Component Manufacture (legacy),[Deprecated] This will be removed in a future version.,0,0
7.7 Component Manufacture (legacy),Use the @.component.manufacturer instead.,0,0
7.7 Component Manufacture (legacy),The organization that manufactured the component that the BOM describes.,0,0
7.7 Component Manufacture (legacy) (Table 13 - Row 1),bom-ref | String | Optional | An optional identifier which can be used to reference the object elsewhere in the BOM. Every bom-ref must be unique within the BOM. Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,1,1
7.7 Component Manufacture (legacy) (Table 13 - Row 2),name | String | Optional | The name of the organization,1,1
7.7 Component Manufacture (legacy) (Table 13 - Row 3),address | Object | Optional | The physical address (location) of the organization,1,1
7.7 Component Manufacture (legacy) (Table 13 - Row 4),url | Array | Optional | The URL of the organization. Multiple URLs are allowed.,1,1
7.7 Component Manufacture (legacy) (Table 13 - Row 5),contact | Array | Optional | A contact at the organization. Multiple contacts are allowed.,1,1
7.7.1 BOM Reference,An optional identifier which can be used to reference the object elsewhere in the BOM.,0,0
7.7.1 BOM Reference,Every bom-ref must be unique within the BOM.,1,1
7.7.1 BOM Reference,Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,1,1
7.7.2 Organization Name,The name of the organization,0,0
7.7.2 Organization Name,(Example bullet) Example Inc.,0,0
7.7.3 Organization Address,The physical address (location) of the organization,0,0
7.7.3 Organization Address (Table 14 - Row 1),bom-ref | String | Optional | An optional identifier which can be used to reference the address elsewhere in the BOM. Every bom-ref must be unique within the BOM. Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,1,1
7.7.3 Organization Address (Table 14 - Row 2),country | String | Optional | The country name or the two-letter ISO 3166-1 country code.,1,1
7.7.3 Organization Address (Table 14 - Row 3),region | String | Optional | The region or state in the country.,1,1
7.7.3 Organization Address (Table 14 - Row 4),locality | String | Optional | The locality or city within the country.,1,1
7.7.3 Organization Address (Table 14 - Row 5),postOfficeBoxNumber | String | Optional | The post office box number.,1,1
7.7.3 Organization Address (Table 14 - Row 6),postalCode | String | Optional | The postal code.,1,1
7.7.3 Organization Address (Table 14 - Row 7),streetAddress | String | Optional | The street address.,1,1
7.7.3.1 BOM Reference,An optional identifier which can be used to reference the address elsewhere in the BOM.,0,0
7.7.3.1 BOM Reference,Every bom-ref must be unique within the BOM.,1,1
7.7.3.1 BOM Reference,Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,1,1
7.7.3.2 Country,The country name or the two-letter ISO 3166-1 country code.,0,0
7.7.3.3 Region,The region or state in the country.,0,0
7.7.3.3 Region,(Example bullet) Texas,0,0
7.7.3.4 Locality,The locality or city within the country.,0,0
7.7.3.4 Locality,(Example bullet) Austin,0,0
7.7.3.5 Post Office Box Number,The post office box number.,0,0
7.7.3.5 Post Office Box Number,(Example bullet) 901,0,0
7.7.3.6 Postal Code,The postal code.,0,0
7.7.3.6 Postal Code,(Example bullet) 78758,0,0
7.7.3.7 Street Address,The street address.,0,0
7.7.3.7 Street Address,(Example bullet) 100 Main Street,0,0
7.7.4 Organization URL(s),The URL of the organization.,0,0
7.7.4 Organization URL(s),Multiple URLs are allowed.,0,0
7.7.4 Organization URL(s),Each item of this array must be a string.,1,1
7.7.4 Organization URL(s),(Example bullet) https://example.com,0,0
7.7.5 Organizational Contact,A contact at the organization.,0,0
7.7.5 Organizational Contact,Multiple contacts are allowed.,0,0
7.7.5 Organizational Contact,Each item of this array must be an Organizational Contact object.,1,1
7.7.5.1 Organizational Contact (Table 15 - Row 1),bom-ref | String | Optional | An optional identifier which can be used to reference the object elsewhere in the BOM. Every bom-ref must be unique within the BOM. Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,1,1
7.7.5.1 Organizational Contact (Table 15 - Row 2),name | String | Optional | The name of a contact,1,1
7.7.5.1 Organizational Contact (Table 15 - Row 3),email | String | Optional | The email address of the contact.,1,1
7.7.5.1 Organizational Contact (Table 15 - Row 4),phone | String | Optional | The phone number of the contact.,1,1
7.7.5.1.1 BOM Reference,An optional identifier which can be used to reference the object elsewhere in the BOM.,0,0
7.7.5.1.1 BOM Reference,Every bom-ref must be unique within the BOM.,1,1
7.7.5.1.1 BOM Reference,Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,1,1
7.7.5.1.2 Name,The name of a contact,0,0
7.7.5.1.2 Name,(Example bullet) Contact name,0,0
7.7.5.1.3 Email Address,The email address of the contact.,0,0
7.7.5.1.3 Email Address,(Example bullet) firstname.lastname@example.com,0,0
7.7.5.1.4 Phone,The phone number of the contact.,0,0
7.7.5.1.4 Phone,(Example bullet) 800-555-1212,0,0
7.8 Supplier,The organization that supplied the component that the BOM describes.,0,0
